"bloc","MP","SP","SP_nb","MP_nb","bloc_num","PE","ttt"
"B1","F1","Arachide",5,5,1,125,25
"B2","F1","Arachide",2,4,2,217,17
"B3","F1","Arachide",2,2,3,307,7
"B4","F1","Arachide",1,5,4,421,21
"B1","F2","Arachide",4,1,1,104,4
"B2","F2","Arachide",1,5,2,221,21
"B3","F2","Arachide",2,3,3,312,12
"B4","F2","Arachide",2,3,4,412,12
"B1","F3","Arachide",3,3,1,113,13
"B2","F3","Arachide",3,2,2,208,8
"B3","F3","Arachide",4,4,3,319,19
"B4","F3","Arachide",1,2,4,406,6
"B1","F4","Arachide",2,4,1,117,17
"B2","F4","Arachide",4,1,2,204,4
"B3","F4","Arachide",2,1,3,302,2
"B4","F4","Arachide",3,1,4,403,3
"B1","F5","Arachide",2,2,1,107,7
"B2","F5","Arachide",1,3,2,211,11
"B3","F5","Arachide",4,5,3,324,24
"B4","F5","Arachide",4,4,4,419,19
"B1","F1","Coton",4,5,1,124,24
"B2","F1","Coton",3,4,2,218,18
"B3","F1","Coton",5,2,3,310,10
"B4","F1","Coton",5,5,4,425,25
"B1","F2","Coton",3,1,1,103,3
"B2","F2","Coton",2,5,2,222,22
"B3","F2","Coton",4,3,3,314,14
"B4","F2","Coton",3,3,4,413,13
"B1","F3","Coton",2,3,1,112,12
"B2","F3","Coton",1,2,2,206,6
"B3","F3","Coton",2,4,3,317,17
"B4","F3","Coton",3,2,4,408,8
"B1","F4","Coton",1,4,1,116,16
"B2","F4","Coton",2,1,2,202,2
"B3","F4","Coton",1,1,3,301,1
"B4","F4","Coton",5,1,4,405,5
"B1","F5","Coton",5,2,1,110,10
"B2","F5","Coton",2,3,2,212,12
"B3","F5","Coton",2,5,3,322,22
"B4","F5","Coton",1,4,4,416,16
"B1","F1","Sorgho",3,5,1,123,23
"B2","F1","Sorgho",4,4,2,219,19
"B3","F1","Sorgho",1,2,3,306,6
"B4","F1","Sorgho",2,5,4,422,22
"B1","F2","Sorgho",5,1,1,105,5
"B2","F2","Sorgho",3,5,2,223,23
"B3","F2","Sorgho",3,3,3,313,13
"B4","F2","Sorgho",1,3,4,411,11
"B1","F3","Sorgho",1,3,1,111,11
"B2","F3","Sorgho",4,2,2,209,9
"B3","F3","Sorgho",5,4,3,320,20
"B4","F3","Sorgho",4,2,4,409,9
"B1","F4","Sorgho",3,4,1,118,18
"B2","F4","Sorgho",5,1,2,205,5
"B3","F4","Sorgho",3,1,3,303,3
"B4","F4","Sorgho",4,1,4,404,4
"B1","F5","Sorgho",3,2,1,108,8
"B2","F5","Sorgho",4,3,2,214,14
"B3","F5","Sorgho",1,5,3,321,21
"B4","F5","Sorgho",2,4,4,417,17
"B1","F1","Maïs",1,5,1,121,21
"B2","F1","Maïs",1,4,2,216,16
"B3","F1","Maïs",3,2,3,308,8
"B4","F1","Maïs",4,5,4,424,24
"B1","F2","Maïs",2,1,1,102,2
"B2","F2","Maïs",4,5,2,224,24
"B3","F2","Maïs",1,3,3,311,11
"B4","F2","Maïs",4,3,4,414,14
"B1","F3","Maïs",4,3,1,114,14
"B2","F3","Maïs",5,2,2,210,10
"B3","F3","Maïs",1,4,3,316,16
"B4","F3","Maïs",5,2,4,410,10
"B1","F4","Maïs",5,4,1,120,20
"B2","F4","Maïs",3,1,2,203,3
"B3","F4","Maïs",4,1,3,304,4
"B4","F4","Maïs",2,1,4,402,2
"B1","F5","Maïs",4,2,1,109,9
"B2","F5","Maïs",5,3,2,215,15
"B3","F5","Maïs",5,5,3,325,25
"B4","F5","Maïs",5,4,4,420,20
"B1","F1","Mil",2,5,1,122,22
"B2","F1","Mil",5,4,2,220,20
"B3","F1","Mil",4,2,3,309,9
"B4","F1","Mil",3,5,4,423,23
"B1","F2","Mil",1,1,1,101,1
"B2","F2","Mil",5,5,2,225,25
"B3","F2","Mil",5,3,3,315,15
"B4","F2","Mil",5,3,4,415,15
"B1","F3","Mil",5,3,1,115,15
"B2","F3","Mil",2,2,2,207,7
"B3","F3","Mil",3,4,3,318,18
"B4","F3","Mil",2,2,4,407,7
"B1","F4","Mil",4,4,1,119,19
"B2","F4","Mil",1,1,2,201,1
"B3","F4","Mil",5,1,3,305,5
"B4","F4","Mil",1,1,4,401,1
"B1","F5","Mil",1,2,1,106,6
"B2","F5","Mil",3,3,2,213,13
"B3","F5","Mil",3,5,3,323,23
"B4","F5","Mil",3,4,4,418,18
